DrugBank ID,Name,Drug Groups,SMILES
DB00137,Lutein,approved; investigational; nutraceutical,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
DB00138,Cystine,approved; nutraceutical,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
DB00139,Succinic acid,approved; nutraceutical,OC(=O)CCC(O)=O
DB00140,Riboflavin,approved; investigational; nutraceutical; vet_approved,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
DB00141,N-Acetylglucosamine,approved; investigational; nutraceutical,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
DB00142,Glutamic acid,approved; nutraceutical,N[C@@H](CCC(O)=O)C(O)=O
DB00143,Glutathione,approved; investigational; nutraceutical,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
DB00144,Phosphatidyl serine,investigational; nutraceutical,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCCCC
DB00145,Glycine,approved; nutraceutical; vet_approved,NCC(O)=O
DB00146,Calcifediol,approved; nutraceutical,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00147,Pyridoxal,experimental; nutraceutical,CC1=NC=C(CO)C(C=O)=C1O
DB00148,Creatine,approved; investigational; nutraceutical,CN(CC(O)=O)C(N)=N
DB00149,Leucine,investigational; nutraceutical,CC(C)C[C@H](N)C(O)=O
DB00150,Tryptophan,approved; nutraceutical; withdrawn,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
DB00151,Cysteine,approved; nutraceutical,N[C@@H](CS)C(O)=O
DB00152,Thiamine,approved; investigational; nutraceutical; vet_approved,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
DB00153,Ergocalciferol,approved; nutraceutical,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00154,Dihomo-gamma-linolenic acid,investigational; nutraceutical,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
DB00155,Citrulline,investigational; nutraceutical,N[C@@H](CCCNC(N)=O)C(O)=O
DB00156,Threonine,approved; nutraceutical,C[C@@H](O)[C@H](N)C(O)=O
DB00157,NADH,approved; nutraceutical,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB00158,Folic acid,approved; nutraceutical; vet_approved,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
DB00159,Icosapent,approved; nutraceutical,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
DB00160,Alanine,nutraceutical,C[C@H](N)C(O)=O
DB00161,Valine,approved; nutraceutical,CC(C)[C@H](N)C(O)=O
DB00162,Vitamin A,approved; nutraceutical; vet_approved,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
DB00163,Vitamin E,approved; nutraceutical; vet_approved,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
DB00165,Pyridoxine,approved; investigational; nutraceutical; vet_approved,CC1=C(O)C(CO)=C(CO)C=N1
DB00166,Lipoic acid,approved; investigational; nutraceutical,OC(=O)CCCC[C@@H]1CCSS1
DB00167,Isoleucine,investigational; nutraceutical,CC[C@H](C)[C@H](N)C(O)=O
DB00168,Aspartame,investigational; nutraceutical,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
DB00169,Cholecalciferol,approved; nutraceutical,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00170,Menadione,approved; nutraceutical,CC1=CC(=O)C2=CC=CC=C2C1=O
DB00171,ATP,investigational; nutraceutical,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
DB00172,Proline,nutraceutical,OC(=O)[C@@H]1CCCN1
DB00173,Adenine,approved; nutraceutical,NC1=C2NC=NC2=NC=N1
DB00174,Asparagine,approved; investigational; nutraceutical,N[C@@H](CC(N)=O)C(O)=O
DB00175,Pravastatin,approved,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
DB00176,Fluvoxamine,approved; investigational,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
DB00177,Valsartan,approved; investigational,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
DB00178,Ramipril,approved,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
DB00179,Masoprocol,approved; investigational,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
DB00180,Flunisolide,approved; investigational,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
DB00181,Baclofen,approved,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
DB00182,Amphetamine,approved; illicit; investigational,CC(N)CC1=CC=CC=C1
DB00183,Pentagastrin,approved,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
DB00184,Nicotine,approved,CN1CCC[C@H]1C1=CN=CC=C1
DB00185,Cevimeline,approved,CC1O[C@@]2(CS1)CN1CCC2CC1
DB00186,Lorazepam,approved,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
DB00187,Esmolol,approved,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
DB00188,Bortezomib,approved; investigational,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
DB00189,Ethchlorvynol,approved; illicit; withdrawn,CCC(O)(\C=C\Cl)C#C
DB00190,Carbidopa,approved,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
DB00191,Phentermine,approved; illicit,CC(C)(N)CC1=CC=CC=C1
DB00192,Indecainide,approved,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
DB00193,Tramadol,approved; investigational,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C
DB00194,Vidarabine,approved; investigational,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
DB00195,Betaxolol,approved; investigational,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
DB00196,Fluconazole,approved; investigational,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
DB00197,Troglitazone,approved; investigational; withdrawn,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
DB00198,Oseltamivir,approved,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
DB00199,Erythromycin,approved; investigational; vet_approved,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
DB00200,Hydroxocobalamin,approved,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
DB00201,Caffeine,approved,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
DB00202,Succinylcholine,approved,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203,Sildenafil,approved; investigational,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1
DB00204,Dofetilide,approved; investigational,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
DB00205,Pyrimethamine,approved; investigational; vet_approved,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
DB00206,Reserpine,approved; investigational,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
DB00207,Azithromycin,approved,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
DB00208,Ticlopidine,approved,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
DB00209,Trospium,approved,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
DB00210,Adapalene,approved,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
DB00211,Midodrine,approved,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
DB00212,Remikiren,experimental,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1
DB00213,Pantoprazole,approved,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
DB00214,Torasemide,approved,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
DB00215,Citalopram,approved,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
DB00216,Eletriptan,approved; investigational,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
DB00217,Bethanidine,approved,CN\C(NCC1=CC=CC=C1)=N/C
DB00218,Moxifloxacin,approved; investigational,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
DB00219,Oxyphenonium,approved,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
DB00220,Nelfinavir,approved,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
DB00221,Isoetharine,approved,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
DB00222,Glimepiride,approved,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O
DB00223,Diflorasone,approved,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
DB00224,Indinavir,approved,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
DB00225,Gadodiamide,approved; investigational,[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O
DB00226,Guanadrel,approved,NC(N)=NCC1COC2(CCCCC2)O1
DB00227,Lovastatin,approved; investigational,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
DB00228,Enflurane,approved; investigational; vet_approved,FC(F)OC(F)(F)C(F)Cl
DB00229,Cefotiam,approved; investigational,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O
DB00230,Pregabalin,approved; investigational,CC(C)C[C@H](CN)CC(O)=O
DB00231,Temazepam,approved; investigational,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
DB00232,Methyclothiazide,withdrawn,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O
DB00233,Aminosalicylic acid,approved,NC1=CC(O)=C(C=C1)C(O)=O
DB00234,Reboxetine,approved; experimental,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1
DB00235,Milrinone,approved,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
DB00236,Pipobroman,approved,BrCCC(=O)N1CCN(CC1)C(=O)CCBr
DB00237,Butabarbital,approved; illicit,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00238,Nevirapine,approved,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1
DB00239,Oxiconazole,approved,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
DB00240,Alclometasone,approved,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
DB00241,Butalbital,approved; illicit,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
DB00242,Cladribine,approved; investigational,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
DB00243,Ranolazine,approved; investigational,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
DB00244,Mesalazine,approved,NC1=CC(C(O)=O)=C(O)C=C1
DB00245,Benzatropine,approved,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
DB00246,Ziprasidone,approved,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
DB00247,Methysergide,approved,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO
DB00248,Cabergoline,approved,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
DB00249,Idoxuridine,approved; investigational,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
DB00250,Dapsone,approved; investigational,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
DB00251,Terconazole,approved,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
DB00252,Phenytoin,approved; vet_approved,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
DB00253,Medrysone,approved,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
DB00254,Doxycycline,approved; investigational; vet_approved,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
DB00255,Diethylstilbestrol,approved; investigational,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
DB00256,Lymecycline,approved; investigational,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C
DB00257,Clotrimazole,approved; vet_approved,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
DB00258,Calcium acetate,approved; investigational,[Ca++].CC([O-])=O.CC([O-])=O
DB00259,Sulfanilamide,approved,NC1=CC=C(C=C1)S(N)(=O)=O
DB00260,Cycloserine,approved,N[C@@H]1CONC1=O
DB00261,Anagrelide,approved,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
DB00262,Carmustine,approved; investigational,ClCCNC(=O)N(CCCl)N=O
DB00263,Sulfisoxazole,approved; vet_approved,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
DB00264,Metoprolol,approved; investigational,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
DB00265,Crotamiton,approved,CCN(C(=O)C=CC)C1=CC=CC=C1C
DB00266,Dicoumarol,approved,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2
DB00267,Cefmenoxime,approved,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
DB00268,Ropinirole,approved; investigational,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
DB00269,Chlorotrianisene,investigational; withdrawn,COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1
DB00270,Isradipine,approved; investigational,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
